Date : 2025-10-03 00:54:16
Directory : /Users/spursh/Documents/code/hours-frontend-next
Total : 95 files,  15140 codes, 171 comments, 1156 blanks, all 16467 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/spursh/Documents/code/hours-frontend-next/components/ui/qr-scanner.tsx            | TypeScript JSX     |        157 |          5 |         15 |        177 |
| /Users/spursh/Documents/code/hours-frontend-next/components/ui/radio-group.tsx           | TypeScript JSX     |         40 |          0 |          6 |         46 |
| /Users/spursh/Documents/code/hours-frontend-next/components/ui/resizable.tsx             | TypeScript JSX     |         50 |          0 |          7 |         57 |
| /Users/spursh/Documents/code/hours-frontend-next/components/ui/scroll-area.tsx           | TypeScript JSX     |         53 |          0 |          6 |         59 |
| /Users/spursh/Documents/code/hours-frontend-next/components/ui/select.tsx                | TypeScript JSX     |        172 |          0 |         14 |        186 |
| /Users/spursh/Documents/code/hours-frontend-next/components/ui/separator.tsx             | TypeScript JSX     |         24 |          0 |          5 |         29 |
| /Users/spursh/Documents/code/hours-frontend-next/components/ui/sheet.tsx                 | TypeScript JSX     |        126 |          0 |         14 |        140 |
| /Users/spursh/Documents/code/hours-frontend-next/components/ui/sidebar.tsx               | TypeScript JSX     |        660 |         12 |         55 |        727 |
| /Users/spursh/Documents/code/hours-frontend-next/components/ui/skeleton.tsx              | TypeScript JSX     |         11 |          0 |          3 |         14 |
| /Users/spursh/Documents/code/hours-frontend-next/components/ui/slider.tsx                | TypeScript JSX     |         58 |          0 |          6 |         64 |
| /Users/spursh/Documents/code/hours-frontend-next/components/ui/sonner.tsx                | TypeScript JSX     |         21 |          0 |          5 |         26 |
| /Users/spursh/Documents/code/hours-frontend-next/components/ui/success-animation.tsx     | TypeScript JSX     |         45 |          0 |          5 |         50 |
| /Users/spursh/Documents/code/hours-frontend-next/components/ui/switch.tsx                | TypeScript JSX     |         27 |          0 |          5 |         32 |
| /Users/spursh/Documents/code/hours-frontend-next/components/ui/table.tsx                 | TypeScript JSX     |        105 |          0 |         12 |        117 |
| /Users/spursh/Documents/code/hours-frontend-next/components/ui/tabs.tsx                  | TypeScript JSX     |         59 |          0 |          8 |         67 |
| /Users/spursh/Documents/code/hours-frontend-next/components/ui/textarea.tsx              | TypeScript JSX     |         15 |          0 |          4 |         19 |
| /Users/spursh/Documents/code/hours-frontend-next/components/ui/toggle-group.tsx          | TypeScript JSX     |         66 |          0 |          8 |         74 |
| /Users/spursh/Documents/code/hours-frontend-next/components/ui/toggle.tsx                | TypeScript JSX     |         42 |          0 |          6 |         48 |
| /Users/spursh/Documents/code/hours-frontend-next/components/ui/tooltip.tsx               | TypeScript JSX     |         54 |          0 |          8 |         62 |
| /Users/spursh/Documents/code/hours-frontend-next/components/ui/use-mobile.tsx            | TypeScript JSX     |         15 |          0 |          5 |         20 |
| /Users/spursh/Documents/code/hours-frontend-next/contexts/AuthContext.tsx                | TypeScript JSX     |         87 |          1 |         20 |        108 |
| /Users/spursh/Documents/code/hours-frontend-next/hooks/use-mobile.ts                     | TypeScript         |         15 |          0 |          5 |         20 |
