"filename", "language", "JSON with Comments", "TypeScript", "JSON", "TypeScript JSX", "XML", "YAML", "JavaScript", "CSS", "comment", "blank", "total"
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/drawer.tsx", "TypeScript JSX", 0, 0, 0, 122, 0, 0, 0, 0, 0, 14, 136
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 240, 0, 0, 0, 0, 0, 19, 259
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/form.tsx", "TypeScript JSX", 0, 0, 0, 143, 0, 0, 0, 0, 0, 25, 168
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/gradient-card.tsx", "TypeScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 0, 3, 29
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/hover-card.tsx", "TypeScript JSX", 0, 0, 0, 38, 0, 0, 0, 0, 0, 7, 45
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/input-otp.tsx", "TypeScript JSX", 0, 0, 0, 69, 0, 0, 0, 0, 0, 9, 78
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/input.tsx", "TypeScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/label.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/loading-spinner.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 5, 28
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/menubar.tsx", "TypeScript JSX", 0, 0, 0, 257, 0, 0, 0, 0, 0, 20, 277
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/mouse-tracking-card.tsx", "TypeScript JSX", 0, 0, 0, 84, 0, 0, 0, 0, 3, 9, 96
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/navigation-menu.tsx", "TypeScript JSX", 0, 0, 0, 155, 0, 0, 0, 0, 0, 12, 167
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/organization-selector.tsx", "TypeScript JSX", 0, 0, 0, 292, 0, 0, 0, 0, 13, 22, 327
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/page-transition.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/pagination.tsx", "TypeScript JSX", 0, 0, 0, 117, 0, 0, 0, 0, 0, 11, 128
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/popover.tsx", "TypeScript JSX", 0, 0, 0, 41, 0, 0, 0, 0, 0, 8, 49
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/progress.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, 5, 32
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/qr-scanner.tsx", "TypeScript JSX", 0, 0, 0, 157, 0, 0, 0, 0, 5, 15, 177
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/radio-group.tsx", "TypeScript JSX", 0, 0, 0, 40, 0, 0, 0, 0, 0, 6, 46
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/resizable.tsx", "TypeScript JSX", 0, 0, 0, 50, 0, 0, 0, 0, 0, 7, 57
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 53, 0, 0, 0, 0, 0, 6, 59
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/select.tsx", "TypeScript JSX", 0, 0, 0, 172, 0, 0, 0, 0, 0, 14, 186
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/separator.tsx", "TypeScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/sheet.tsx", "TypeScript JSX", 0, 0, 0, 126, 0, 0, 0, 0, 0, 14, 140
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/sidebar.tsx", "TypeScript JSX", 0, 0, 0, 660, 0, 0, 0, 0, 12, 55, 727
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/skeleton.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/slider.tsx", "TypeScript JSX", 0, 0, 0, 58, 0, 0, 0, 0, 0, 6, 64
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/sonner.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 0, 5, 26
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/success-animation.tsx", "TypeScript JSX", 0, 0, 0, 45, 0, 0, 0, 0, 0, 5, 50
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/switch.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, 5, 32
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/table.tsx", "TypeScript JSX", 0, 0, 0, 105, 0, 0, 0, 0, 0, 12, 117
