"filename", "language", "TypeScript", "JavaScript", "TypeScript JSX", "JSON", "CSS", "YAML", "comment", "blank", "total"
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/AdminHeader.tsx", "TypeScript JSX", 0, 0, 24, 0, 0, 0, 0, 3, 27
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/AdminStatsCards.tsx", "TypeScript JSX", 0, 0, 77, 0, 0, 0, 0, 8, 85
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/AdminsTab.tsx", "TypeScript JSX", 0, 0, 81, 0, 0, 0, 0, 4, 85
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/BulkRejectDialog.tsx", "TypeScript JSX", 0, 0, 66, 0, 0, 0, 0, 4, 70
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/CreateAdminDialog.tsx", "TypeScript JSX", 0, 0, 107, 0, 0, 0, 0, 4, 111
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/CreateOrganizationDialog.tsx", "TypeScript JSX", 0, 0, 76, 0, 0, 0, 0, 4, 80
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/DeleteGraduatedButton.tsx", "TypeScript JSX", 0, 0, 40, 0, 0, 0, 0, 4, 44
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/DeleteGraduatedStudentsDialog.tsx", "TypeScript JSX", 0, 0, 122, 0, 0, 0, 0, 9, 131
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/DeleteHourDialog.tsx", "TypeScript JSX", 0, 0, 63, 0, 0, 0, 0, 5, 68
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/DialogsContainer.tsx", "TypeScript JSX", 0, 0, 119, 0, 0, 0, 0, 4, 123
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/EditAdminDialog.tsx", "TypeScript JSX", 0, 0, 76, 0, 0, 0, 0, 5, 81
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/EditHourStatusDialog.tsx", "TypeScript JSX", 0, 0, 111, 0, 0, 0, 0, 9, 120
